CD_CVM,DENOM_CIA,receita,ESCALA_MOEDA,lucro_liquido,setor
025453,INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,4756146.0,MIL,528412.0,Comércio (Atacado e Varejo)
007544,TEXTIL RENAUXVIEW S.A.,117684.0,MIL,-39446.0,Têxtil e Vestuário
013773,PBG S/A,2407806.0,MIL,-102017.0,"Construção Civil, Mat. Constr. e Decoração"
002461,CENTRAIS ELET DE SANTA CATARINA S.A.,10658858.0,MIL,715802.0,Energia Elétrica
005410,WEG S.A.,37986941.0,MIL,6318763.0,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças"
006343,TUPY S.A.,10665110.0,MIL,82440.0,Metalurgia e Siderurgia
011991,WETZEL S.A.,279779.0,MIL,32880.0,Metalurgia e Siderurgia
026255,TIGRE S.A. PARTICIPAÇÕES,4823208.0,MIL,-186016.0,"Construção Civil, Mat. Constr. e Decoração"
014664,SCHULZ S.A.,1945886.0,MIL,255191.0,Metalurgia e Siderurgia
013439,METALURGICA RIOSULENSE S.A.,380752.0,MIL,58732.0,"Máquinas, Equipamentos, Veículos e Peças"
008753,METISA METALURGICA TIMBOENSE S.A.,506964306.0,UNIDADE,30520056.0,Metalurgia e Siderurgia
013285,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,2212219.0,MIL,28902.0,Emp. Adm. Part. - Alimentos
003298,CIA HABITASUL DE PARTICIPACOES,52862.0,MIL,14959.0,Emp. Adm. Part. - Crédito Imobiliário
026980,BORRACHAS VIPAL S.A.,2659257.0,MIL,280664.0,Petroquímicos e Borracha
006211,FRASLE MOBILITY S.A.,3965776.0,MIL,374703.0,"Máquinas, Equipamentos, Veículos e Peças"
005312,MUNDIAL S.A. - PRODUTOS DE CONSUMO,969980.0,MIL,3818.0,Têxtil e Vestuário
008451,MARCOPOLO S.A.,8593837.0,MIL,1222377.0,"Máquinas, Equipamentos, Veículos e Peças"
009539,PETTENATI S.A. INDUSTRIA TEXTIL,746450281.0,UNIDADE,33971636.0,Têxtil e Vestuário
014109,RANDONCORP S.A.,11915741.0,MIL,691696.0,"Máquinas, Equipamentos, Veículos e Peças"
020745,SLC AGRICOLA S.A.,7803627.0,MIL,481723.0,"Agricultura (Açúcar, Álcool e Cana)"
020060,LUPATECH S.A,123127.0,MIL,-31772.0,"Máquinas, Equipamentos, Veículos e Peças"
012653,KLABIN S.A.,19645264.0,MIL,2046945.0,Papel e Celulose
013030,CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL,187582.0,MIL,95232.0,"Construção Civil, Mat. Constr. e Decoração"
019615,GRENDENE S.A.,2628580.0,MIL,735236.0,Têxtil e Vestuário
013765,MINUPAR PARTICIPACOES S.A.,354888.0,MIL,12050.0,Emp. Adm. Part. - Alimentos
020532,BCO SANTANDER (BRASIL) S.A.,137183478.0,MIL,13413763.0,Bancos
022780,UNICASA INDÚSTRIA DE MÓVEIS S.A.,226559.0,MIL,12449.0,"Construção Civil, Mat. Constr. e Decoração"
012572,RECRUSUL S.A.,19854.0,MIL,-19719.0,"Máquinas, Equipamentos, Veículos e Peças"
007870,KEPLER WEBER S.A.,1607297.0,MIL,199183.0,Emp. Adm. Part. - Metalurgia e Siderurgia
004537,GRAZZIOTIN S.A.,728592.0,MIL,104649.0,Comércio (Atacado e Varejo)
008192,TREVISA INVESTIMENTOS S.A.,136466.0,MIL,37134.0,Emp. Adm. Part. - Sem Setor Principal
009342,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,4942462.0,MIL,105509.0,Comércio (Atacado e Varejo)
008656,METALURGICA GERDAU S.A.,67026656.0,MIL,4610512.0,Emp. Adm. Part. - Metalurgia e Siderurgia
000094,PANATLANTICA S.A.,2109725.0,MIL,84659.0,Metalurgia e Siderurgia
001210,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,16420211.0,MIL,727798.0,Bancos
003204,CPFL TRANSMISSÃO S.A.,2065573.0,MIL,517859.0,Energia Elétrica
008133,LOJAS RENNER S.A.,14436366.0,MIL,1196668.0,Comércio (Atacado e Varejo)
006173,TAURUS ARMAS S.A.,1672674.0,MIL,76592.0,"Máquinas, Equipamentos, Veículos e Peças"
002429,IRANI PAPEL E EMBALAGEM S.A.,1627470.0,MIL,304519.0,Embalagens
025950,TRÊS TENTOS AGROINDUSTRIAL S/A,12825771.0,MIL,756365.0,"Agricultura (Açúcar, Álcool e Cana)"
025143,PACAEMBU CONSTRUTORA S.A.,1692380.0,MIL,261207.0,"Construção Civil, Mat. Constr. e Decoração"
025038,LOJAS QUERO QUERO S.A.,2666330.0,MIL,146.0,Comércio (Atacado e Varejo)
004693,CONSERVAS ODERICH S.A.,733020.0,MIL,36713.0,Alimentos
021091,DEXCO S.A.,8234647.0,MIL,174375.0,"Construção Civil, Mat. Constr. e Decoração"
